2025-04-15 21:18:27,232 - INFO - Player 2, Action 61, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,234 - INFO - Player 3, Action 8, Action type pick token, Total tokens 4, Next player 3
2025-04-15 21:18:27,236 - INFO - Player 0, Action 74, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,238 - INFO - Player 1, Action 11, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,241 - INFO - Player 2, Action 6, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,244 - INFO - Player 3, Action 5, Action type pick token, Total tokens 6, Next player 3
2025-04-15 21:18:27,247 - INFO - Player 0, Action 32, Action type buy card, Total tokens 7, Next player 0
2025-04-15 21:18:27,248 - INFO - Player 1, Action 75, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,250 - INFO - Player 2, Action 77, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:18:27,253 - INFO - Player 3, Action 26, Action type pick token, Total tokens 8, Next player 3
2025-04-15 21:18:27,255 - INFO - Player 0, Action 6, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,258 - INFO - Player 1, Action 10, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,261 - INFO - Player 2, Action 8, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:18:27,263 - INFO - Player 3, Action 26, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:18:27,266 - INFO - Player 0, Action 3, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:18:27,267 - INFO - Player 1, Action 70, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,269 - INFO - Player 2, Action 60, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,271 - INFO - Player 3, Action 12, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,274 - INFO - Player 0, Action 30, Action type buy card, Total tokens 9, Next player 0
2025-04-15 21:18:27,276 - INFO - Player 1, Action 6, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,279 - INFO - Player 2, Action 31, Action type buy card, Total tokens 8, Next player 2
2025-04-15 21:18:27,281 - INFO - Player 3, Action 70, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,283 - INFO - Player 0, Action 30, Action type buy card, Total tokens 8, Next player 0
2025-04-15 21:18:27,286 - INFO - Player 1, Action 71, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,289 - INFO - Player 2, Action 12, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:18:27,291 - INFO - Player 3, Action 6, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,295 - INFO - Player 0, Action 55, Action type buy reserved, Total tokens 5, Next player 0
2025-04-15 21:18:27,297 - INFO - Player 1, Action 2, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:18:27,300 - INFO - Player 2, Action 29, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,302 - INFO - Player 3, Action 63, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,305 - INFO - Player 0, Action 46, Action type reserve card, Total tokens 6, Next player 0
2025-04-15 21:18:27,308 - INFO - Player 1, Action 4, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,310 - INFO - Player 2, Action 70, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,312 - INFO - Player 3, Action 13, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,315 - INFO - Player 0, Action 19, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,318 - INFO - Player 1, Action 69, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,320 - INFO - Player 2, Action 0, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:18:27,322 - INFO - Player 3, Action 77, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,325 - INFO - Player 0, Action 34, Action type buy card, Total tokens 6, Next player 0
2025-04-15 21:18:27,327 - INFO - Player 1, Action 24, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,330 - INFO - Player 2, Action 59, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,332 - INFO - Player 3, Action 12, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:18:27,335 - INFO - Player 0, Action 0, Action type pick token, Total tokens 7, Next player 0
2025-04-15 21:18:27,337 - INFO - Player 1, Action 66, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:18:27,338 - INFO - Player 2, Action 15, Action type pick token, Total tokens 13, Next player 2
2025-04-15 21:18:27,340 - INFO - Player 3, Action 59, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,344 - INFO - Player 0, Action 32, Action type buy card, Total tokens 7, Next player 0
2025-04-15 21:18:27,347 - INFO - Player 1, Action 6, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,349 - INFO - Player 1, Action 84, Action type return token, Total tokens 11, Next player 1
2025-04-15 21:18:27,351 - INFO - Player 2, Action 78, Action type return token, Total tokens 8, Next player 2
2025-04-15 21:18:27,354 - INFO - Player 3, Action 0, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:18:27,357 - INFO - Player 0, Action 54, Action type buy reserved, Total tokens 5, Next player 0
2025-04-15 21:18:27,359 - INFO - Player 1, Action 74, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,361 - INFO - Player 2, Action 17, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:18:27,363 - INFO - Player 3, Action 67, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,366 - INFO - Player 0, Action 5, Action type pick token, Total tokens 7, Next player 0
2025-04-15 21:18:27,368 - INFO - Player 1, Action 23, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,371 - INFO - Player 2, Action 63, Action type return token, Total tokens 9, Next player 2
