2025-04-15 21:35:30,483 - INFO - Player 1, Action 31, Action type buy card, Total tokens 6, Next player 1
2025-04-15 21:35:30,485 - INFO - Player 2, Action 11, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,487 - INFO - Player 3, Action 17, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,489 - INFO - Player 0, Action 1, Action type pick token, Total tokens 8, Next player 0
2025-04-15 21:35:30,490 - INFO - Player 1, Action 0, Action type pick token, Total tokens 7, Next player 1
2025-04-15 21:35:30,491 - INFO - Player 1, Action 59, Action type return token, Total tokens 11, Next player 1
2025-04-15 21:35:30,492 - INFO - Player 2, Action 83, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,494 - INFO - Player 3, Action 61, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:35:30,496 - INFO - Player 0, Action 22, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,498 - INFO - Player 1, Action 0, Action type pick token, Total tokens 8, Next player 1
2025-04-15 21:35:30,499 - INFO - Player 2, Action 1, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,501 - INFO - Player 3, Action 54, Action type buy reserved, Total tokens 6, Next player 3
2025-04-15 21:35:30,503 - INFO - Player 0, Action 57, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,505 - INFO - Player 1, Action 25, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:35:30,507 - INFO - Player 2, Action 31, Action type buy card, Total tokens 8, Next player 2
2025-04-15 21:35:30,509 - INFO - Player 3, Action 47, Action type reserve card, Total tokens 7, Next player 3
2025-04-15 21:35:30,511 - INFO - Player 0, Action 9, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,513 - INFO - Player 1, Action 0, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,515 - INFO - Player 2, Action 0, Action type pick token, Total tokens 9, Next player 2
2025-04-15 21:35:30,517 - INFO - Player 3, Action 56, Action type buy reserved, Total tokens 5, Next player 3
2025-04-15 21:35:30,518 - INFO - Player 0, Action 67, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,519 - INFO - Player 1, Action 67, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,521 - INFO - Player 2, Action 3, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,523 - INFO - Player 3, Action 9, Action type pick token, Total tokens 7, Next player 3
