2025-04-29 01:26:39,202 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 01:26:39,202 - __main__ - INFO - Debug mode: True
2025-04-29 01:26:39,214 - __main__ - INFO - ==================================================
2025-04-29 01:26:39,214 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 01:26:39,214 - __main__ - INFO - ==================================================
2025-04-29 01:26:39,215 - __main__ - INFO - Card feature dimension: 8
2025-04-29 01:26:39,215 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 01:26:39,215 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 01:26:39,215 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 01:26:39,217 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 01:26:39,217 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 01:26:39,217 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 01:26:39,217 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 01:26:39,217 - __main__ - INFO - Action dimension: 88
2025-04-29 01:26:39,218 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 01:26:39,218 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 01:26:39,219 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 01:26:39,219 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 01:27:38,111 - __main__ - DEBUG - Game 1, Step 80: Player 2 chose action 0
2025-04-29 01:27:39,049 - __main__ - DEBUG - Game 1, Step 81: Player 3 chose action 0
2025-04-29 01:27:39,754 - __main__ - DEBUG - Game 1, Step 82: Player 0 chose action 62
2025-04-29 01:27:40,600 - __main__ - DEBUG - Game 1, Step 83: Player 1 chose action 0
2025-04-29 01:27:41,527 - __main__ - DEBUG - Game 1, Step 84: Player 2 chose action 57
2025-04-29 01:27:42,645 - __main__ - DEBUG - Game 1, Step 85: Player 3 chose action 0
2025-04-29 01:27:43,762 - __main__ - DEBUG - Game 1, Step 86: Player 0 chose action 1
2025-04-29 01:27:44,814 - __main__ - DEBUG - Game 1, Step 87: Player 1 chose action 1
2025-04-29 01:27:45,882 - __main__ - DEBUG - Game 1, Step 88: Player 2 chose action 1
2025-04-29 01:27:46,867 - __main__ - DEBUG - Game 1, Step 89: Player 3 chose action 84
2025-04-29 01:27:47,880 - __main__ - DEBUG - Game 1, Step 90: Player 0 chose action 2
2025-04-29 01:27:48,752 - __main__ - DEBUG - Game 1, Step 91: Player 1 chose action 2
2025-04-29 01:27:49,587 - __main__ - DEBUG - Game 1, Step 92: Player 2 chose action 57
2025-04-29 01:27:50,588 - __main__ - DEBUG - Game 1, Step 93: Player 3 chose action 0
2025-04-29 01:27:51,492 - __main__ - DEBUG - Game 1, Step 94: Player 0 chose action 60
2025-04-29 01:27:52,726 - __main__ - DEBUG - Game 1, Step 95: Player 1 chose action 3
2025-04-29 01:27:53,833 - __main__ - DEBUG - Game 1, Step 96: Player 2 chose action 30
2025-04-29 01:27:54,790 - __main__ - DEBUG - Game 1, Step 97: Player 3 chose action 0
2025-04-29 01:27:55,657 - __main__ - DEBUG - Game 1, Step 98: Player 0 chose action 2
2025-04-29 01:27:56,416 - __main__ - DEBUG - Game 1, Step 99: Player 1 chose action 31
2025-04-29 01:27:57,342 - __main__ - DEBUG - Game 1, Step 100: Player 2 chose action 0
2025-04-29 01:27:58,040 - __main__ - DEBUG - Game 1, Step 101: Player 3 chose action 57
2025-04-29 01:27:58,748 - __main__ - DEBUG - Game 1, Step 102: Player 0 chose action 83
2025-04-29 01:27:59,709 - __main__ - DEBUG - Game 1, Step 103: Player 1 chose action 0
2025-04-29 01:28:00,914 - __main__ - DEBUG - Game 1, Step 104: Player 2 chose action 1
2025-04-29 01:28:01,957 - __main__ - DEBUG - Game 1, Step 105: Player 3 chose action 26
2025-04-29 01:28:02,959 - __main__ - DEBUG - Game 1, Step 106: Player 0 chose action 4
2025-04-29 01:28:03,849 - __main__ - DEBUG - Game 1, Step 107: Player 1 chose action 33
2025-04-29 01:28:04,726 - __main__ - DEBUG - Game 1, Step 108: Player 2 chose action 1
2025-04-29 01:28:05,590 - __main__ - DEBUG - Game 1, Step 109: Player 3 chose action 57
2025-04-29 01:28:06,515 - __main__ - DEBUG - Game 1, Step 110: Player 3 chose action 83
2025-04-29 01:28:07,301 - __main__ - DEBUG - Game 1, Step 111: Player 0 chose action 0
2025-04-29 01:28:08,202 - __main__ - DEBUG - Game 1, Step 112: Player 1 chose action 1
2025-04-29 01:28:09,012 - __main__ - DEBUG - Game 1, Step 113: Player 2 chose action 57
2025-04-29 01:28:09,930 - __main__ - DEBUG - Game 1, Step 114: Player 3 chose action 1
2025-04-29 01:28:10,835 - __main__ - DEBUG - Game 1, Step 115: Player 0 chose action 61
