2025-04-29 01:11:59,596 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 01:11:59,596 - __main__ - INFO - Debug mode: True
2025-04-29 01:11:59,608 - __main__ - INFO - ==================================================
2025-04-29 01:11:59,608 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 01:11:59,608 - __main__ - INFO - ==================================================
2025-04-29 01:11:59,609 - __main__ - INFO - Card feature dimension: 8
2025-04-29 01:11:59,609 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 01:11:59,609 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 01:11:59,609 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 01:11:59,610 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 01:11:59,610 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 01:11:59,610 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 01:11:59,610 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 01:11:59,610 - __main__ - INFO - Action dimension: 88
2025-04-29 01:11:59,610 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 01:11:59,611 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 01:11:59,611 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 01:11:59,611 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 01:11:59,829 - __main__ - INFO - Using device: cuda
2025-04-29 01:12:00,869 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-29 01:12:00,870 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=2048, replay_size=10000, num_simulations=100
2025-04-29 01:12:00,870 - __main__ - INFO - ==================================================
2025-04-29 01:12:00,992 - __main__ - INFO - Loading model from models/alphazero_final.pth
2025-04-29 01:12:00,994 - __main__ - INFO - Loaded model from iteration 6
2025-04-29 01:12:00,996 - __main__ - INFO - Starting AlphaZero training from iteration 7 for 1 iterations
2025-04-29 01:12:12,990 - __main__ - DEBUG - Game 1, Step 20: Player 3 chose action 12
2025-04-29 01:12:13,548 - __main__ - DEBUG - Game 1, Step 21: Player 0 chose action 2
2025-04-29 01:12:14,166 - __main__ - DEBUG - Game 1, Step 22: Player 1 chose action 1
2025-04-29 01:12:14,753 - __main__ - DEBUG - Game 1, Step 23: Player 2 chose action 3
2025-04-29 01:12:15,410 - __main__ - DEBUG - Game 1, Step 24: Player 3 chose action 9
2025-04-29 01:12:15,961 - __main__ - DEBUG - Game 1, Step 25: Player 0 chose action 2
2025-04-29 01:12:16,548 - __main__ - DEBUG - Game 1, Step 26: Player 1 chose action 1
2025-04-29 01:12:17,086 - __main__ - DEBUG - Game 1, Step 27: Player 2 chose action 1
2025-04-29 01:12:17,614 - __main__ - DEBUG - Game 1, Step 28: Player 3 chose action 2
2025-04-29 01:12:18,299 - __main__ - DEBUG - Game 1, Step 29: Player 0 chose action 1
2025-04-29 01:12:18,933 - __main__ - DEBUG - Game 1, Step 30: Player 1 chose action 53
2025-04-29 01:12:19,490 - __main__ - DEBUG - Game 1, Step 31: Player 2 chose action 51
2025-04-29 01:12:20,142 - __main__ - DEBUG - Game 1, Step 32: Player 3 chose action 3
2025-04-29 01:12:20,798 - __main__ - DEBUG - Game 1, Step 33: Player 0 chose action 2
2025-04-29 01:12:21,500 - __main__ - DEBUG - Game 1, Step 34: Player 1 chose action 53
2025-04-29 01:12:22,210 - __main__ - DEBUG - Game 1, Step 35: Player 2 chose action 3
2025-04-29 01:12:22,919 - __main__ - DEBUG - Game 1, Step 36: Player 3 chose action 57
2025-04-29 01:12:23,747 - __main__ - DEBUG - Game 1, Step 37: Player 0 chose action 0
2025-04-29 01:12:24,549 - __main__ - DEBUG - Game 1, Step 38: Player 1 chose action 53
2025-04-29 01:12:25,286 - __main__ - DEBUG - Game 1, Step 39: Player 2 chose action 30
2025-04-29 01:12:25,995 - __main__ - DEBUG - Game 1, Step 40: Player 3 chose action 4
2025-04-29 01:12:26,655 - __main__ - DEBUG - Game 1, Step 41: Player 0 chose action 0
2025-04-29 01:12:27,240 - __main__ - DEBUG - Game 1, Step 42: Player 1 chose action 9
2025-04-29 01:12:27,836 - __main__ - DEBUG - Game 1, Step 43: Player 2 chose action 2
2025-04-29 01:12:28,415 - __main__ - DEBUG - Game 1, Step 44: Player 3 chose action 57
2025-04-29 01:12:29,052 - __main__ - DEBUG - Game 1, Step 45: Player 0 chose action 57
2025-04-29 01:12:29,873 - __main__ - DEBUG - Game 1, Step 46: Player 1 chose action 57
2025-04-29 01:12:30,948 - __main__ - DEBUG - Game 1, Step 47: Player 1 chose action 57
2025-04-29 01:12:31,854 - __main__ - DEBUG - Game 1, Step 48: Player 2 chose action 0
2025-04-29 01:12:32,675 - __main__ - DEBUG - Game 1, Step 49: Player 3 chose action 53
2025-04-29 01:12:33,391 - __main__ - DEBUG - Game 1, Step 50: Player 0 chose action 0
2025-04-29 01:12:34,079 - __main__ - DEBUG - Game 1, Step 51: Player 1 chose action 0
2025-04-29 01:12:34,698 - __main__ - DEBUG - Game 1, Step 52: Player 2 chose action 0
2025-04-29 01:12:35,272 - __main__ - DEBUG - Game 1, Step 53: Player 3 chose action 61
2025-04-29 01:12:35,977 - __main__ - DEBUG - Game 1, Step 54: Player 0 chose action 57
2025-04-29 01:12:36,799 - __main__ - DEBUG - Game 1, Step 55: Player 1 chose action 57
2025-04-29 01:12:37,552 - __main__ - DEBUG - Game 1, Step 56: Player 2 chose action 0
2025-04-29 01:12:38,353 - __main__ - DEBUG - Game 1, Step 57: Player 3 chose action 30
2025-04-29 01:12:39,013 - __main__ - DEBUG - Game 1, Step 58: Player 0 chose action 4
2025-04-29 01:12:39,678 - __main__ - DEBUG - Game 1, Step 59: Player 1 chose action 0
2025-04-29 01:12:40,266 - __main__ - DEBUG - Game 1, Step 60: Player 2 chose action 2
2025-04-29 01:12:40,879 - __main__ - DEBUG - Game 1, Step 61: Player 3 chose action 2
2025-04-29 01:12:41,562 - __main__ - DEBUG - Game 1, Step 62: Player 0 chose action 57
2025-04-29 01:12:42,441 - __main__ - DEBUG - Game 1, Step 63: Player 1 chose action 57
2025-04-29 01:12:43,279 - __main__ - DEBUG - Game 1, Step 64: Player 2 chose action 0
2025-04-29 01:12:44,124 - __main__ - DEBUG - Game 1, Step 65: Player 3 chose action 0
2025-04-29 01:12:44,975 - __main__ - DEBUG - Game 1, Step 66: Player 0 chose action 30
2025-04-29 01:12:45,703 - __main__ - DEBUG - Game 1, Step 67: Player 1 chose action 1
2025-04-29 01:12:46,308 - __main__ - DEBUG - Game 1, Step 68: Player 2 chose action 48
2025-04-29 01:12:47,002 - __main__ - DEBUG - Game 1, Step 69: Player 3 chose action 1
2025-04-29 01:12:47,661 - __main__ - DEBUG - Game 1, Step 70: Player 0 chose action 2
2025-04-29 01:12:48,371 - __main__ - DEBUG - Game 1, Step 71: Player 1 chose action 57
2025-04-29 01:12:48,997 - __main__ - DEBUG - Game 1, Step 72: Player 2 chose action 61
2025-04-29 01:12:49,800 - __main__ - DEBUG - Game 1, Step 73: Player 3 chose action 0
2025-04-29 01:12:50,676 - __main__ - DEBUG - Game 1, Step 74: Player 0 chose action 48
2025-04-29 01:12:51,555 - __main__ - DEBUG - Game 1, Step 75: Player 1 chose action 4
2025-04-29 01:12:52,339 - __main__ - DEBUG - Game 1, Step 76: Player 2 chose action 32
2025-04-29 01:12:53,128 - __main__ - DEBUG - Game 1, Step 77: Player 3 chose action 1
2025-04-29 01:12:53,814 - __main__ - DEBUG - Game 1, Step 78: Player 0 chose action 4
2025-04-29 01:12:54,626 - __main__ - DEBUG - Game 1, Step 79: Player 1 chose action 84
2025-04-29 01:12:55,405 - __main__ - DEBUG - Game 1, Step 80: Player 2 chose action 3
2025-04-29 01:12:56,226 - __main__ - DEBUG - Game 1, Step 81: Player 3 chose action 57
2025-04-29 01:12:56,972 - __main__ - DEBUG - Game 1, Step 82: Player 0 chose action 0
2025-04-29 01:12:57,671 - __main__ - DEBUG - Game 1, Step 83: Player 1 chose action 12
2025-04-29 01:12:58,319 - __main__ - DEBUG - Game 1, Step 84: Player 2 chose action 2
2025-04-29 01:12:59,031 - __main__ - DEBUG - Game 1, Step 85: Player 3 chose action 53
2025-04-29 01:12:59,725 - __main__ - DEBUG - Game 1, Step 86: Player 0 chose action 57
2025-04-29 01:13:00,522 - __main__ - DEBUG - Game 1, Step 87: Player 1 chose action 69
2025-04-29 01:13:01,291 - __main__ - DEBUG - Game 1, Step 88: Player 2 chose action 0
2025-04-29 01:13:02,130 - __main__ - DEBUG - Game 1, Step 89: Player 3 chose action 57
2025-04-29 01:13:02,984 - __main__ - DEBUG - Game 1, Step 90: Player 0 chose action 0
2025-04-29 01:13:03,763 - __main__ - DEBUG - Game 1, Step 91: Player 1 chose action 3
2025-04-29 01:13:04,531 - __main__ - DEBUG - Game 1, Step 92: Player 2 chose action 2
2025-04-29 01:13:05,426 - __main__ - DEBUG - Game 1, Step 93: Player 3 chose action 44
2025-04-29 01:13:06,314 - __main__ - DEBUG - Game 1, Step 94: Player 0 chose action 57
2025-04-29 01:13:07,232 - __main__ - DEBUG - Game 1, Step 95: Player 1 chose action 0
2025-04-29 01:13:07,975 - __main__ - DEBUG - Game 1, Step 96: Player 2 chose action 3
2025-04-29 01:13:08,624 - __main__ - DEBUG - Game 1, Step 97: Player 3 chose action 3
2025-04-29 01:13:09,154 - __main__ - DEBUG - Game 1, Step 98: Player 0 chose action 3
2025-04-29 01:13:09,795 - __main__ - DEBUG - Game 1, Step 99: Player 1 chose action 57
2025-04-29 01:13:10,408 - __main__ - DEBUG - Game 1, Step 100: Player 2 chose action 69
2025-04-29 01:13:11,111 - __main__ - DEBUG - Game 1, Step 101: Player 3 chose action 68
2025-04-29 01:13:11,847 - __main__ - DEBUG - Game 1, Step 102: Player 0 chose action 57
2025-04-29 01:13:12,664 - __main__ - DEBUG - Game 1, Step 103: Player 1 chose action 0
2025-04-29 01:13:13,305 - __main__ - DEBUG - Game 1, Step 104: Player 2 chose action 15
2025-04-29 01:13:14,020 - __main__ - DEBUG - Game 1, Step 105: Player 3 chose action 4
2025-04-29 01:13:14,662 - __main__ - DEBUG - Game 1, Step 106: Player 0 chose action 3
2025-04-29 01:13:15,259 - __main__ - DEBUG - Game 1, Step 107: Player 1 chose action 58
2025-04-29 01:13:16,060 - __main__ - DEBUG - Game 1, Step 108: Player 2 chose action 57
2025-04-29 01:13:16,870 - __main__ - DEBUG - Game 1, Step 109: Player 2 chose action 57
2025-04-29 01:13:17,796 - __main__ - DEBUG - Game 1, Step 110: Player 3 chose action 0
2025-04-29 01:13:18,602 - __main__ - DEBUG - Game 1, Step 111: Player 0 chose action 69
2025-04-29 01:13:19,276 - __main__ - DEBUG - Game 1, Step 112: Player 1 chose action 2
2025-04-29 01:13:19,911 - __main__ - DEBUG - Game 1, Step 113: Player 2 chose action 1
2025-04-29 01:13:20,609 - __main__ - DEBUG - Game 1, Step 114: Player 3 chose action 57
2025-04-29 01:13:21,208 - __main__ - DEBUG - Game 1, Step 115: Player 0 chose action 48
2025-04-29 01:13:22,139 - __main__ - DEBUG - Game 1, Step 116: Player 1 chose action 57
2025-04-29 01:13:23,127 - __main__ - DEBUG - Game 1, Step 117: Player 2 chose action 57
2025-04-29 01:13:24,096 - __main__ - DEBUG - Game 1, Step 118: Player 3 chose action 0
2025-04-29 01:13:24,955 - __main__ - DEBUG - Game 1, Step 119: Player 0 chose action 3
2025-04-29 01:13:25,849 - __main__ - DEBUG - Game 1, Step 120: Player 1 chose action 0
2025-04-29 01:13:26,639 - __main__ - DEBUG - Game 1, Step 121: Player 2 chose action 0
2025-04-29 01:13:27,457 - __main__ - DEBUG - Game 1, Step 122: Player 3 chose action 57
2025-04-29 01:13:28,250 - __main__ - DEBUG - Game 1, Step 123: Player 0 chose action 25
2025-04-29 01:13:28,839 - __main__ - DEBUG - Game 1, Step 124: Player 1 chose action 57
2025-04-29 01:13:29,525 - __main__ - DEBUG - Game 1, Step 125: Player 2 chose action 63
2025-04-29 01:13:30,136 - __main__ - DEBUG - Game 1, Step 126: Player 3 chose action 30
2025-04-29 01:13:30,808 - __main__ - DEBUG - Game 1, Step 127: Player 0 chose action 57
2025-04-29 01:13:31,528 - __main__ - DEBUG - Game 1, Step 128: Player 0 chose action 57
2025-04-29 01:13:32,369 - __main__ - DEBUG - Game 1, Step 129: Player 1 chose action 4
2025-04-29 01:13:33,046 - __main__ - DEBUG - Game 1, Step 130: Player 2 chose action 0
2025-04-29 01:13:33,727 - __main__ - DEBUG - Game 1, Step 131: Player 3 chose action 0
2025-04-29 01:13:34,344 - __main__ - DEBUG - Game 1, Step 132: Player 0 chose action 2
2025-04-29 01:13:35,155 - __main__ - DEBUG - Game 1, Step 133: Player 1 chose action 61
2025-04-29 01:13:35,971 - __main__ - DEBUG - Game 1, Step 134: Player 2 chose action 0
2025-04-29 01:13:36,737 - __main__ - DEBUG - Game 1, Step 135: Player 3 chose action 4
2025-04-29 01:13:37,576 - __main__ - DEBUG - Game 1, Step 136: Player 0 chose action 61
2025-04-29 01:13:38,349 - __main__ - DEBUG - Game 1, Step 137: Player 1 chose action 4
2025-04-29 01:13:39,147 - __main__ - DEBUG - Game 1, Step 138: Player 2 chose action 57
2025-04-29 01:13:39,994 - __main__ - DEBUG - Game 1, Step 139: Player 3 chose action 4
2025-04-29 01:13:40,785 - __main__ - DEBUG - Game 1, Step 140: Player 0 chose action 4
2025-04-29 01:13:41,610 - __main__ - DEBUG - Game 1, Step 141: Player 1 chose action 61
2025-04-29 01:13:42,398 - __main__ - DEBUG - Game 1, Step 142: Player 2 chose action 30
2025-04-29 01:13:43,273 - __main__ - DEBUG - Game 1, Step 143: Player 3 chose action 4
2025-04-29 01:13:44,058 - __main__ - DEBUG - Game 1, Step 144: Player 0 chose action 59
2025-04-29 01:13:44,968 - __main__ - DEBUG - Game 1, Step 145: Player 1 chose action 0
2025-04-29 01:13:45,759 - __main__ - DEBUG - Game 1, Step 146: Player 2 chose action 0
2025-04-29 01:13:46,553 - __main__ - DEBUG - Game 1, Step 147: Player 3 chose action 0
2025-04-29 01:13:47,353 - __main__ - DEBUG - Game 1, Step 148: Player 0 chose action 0
2025-04-29 01:13:48,275 - __main__ - DEBUG - Game 1, Step 149: Player 1 chose action 57
2025-04-29 01:13:49,039 - __main__ - DEBUG - Game 1, Step 150: Player 2 chose action 12
2025-04-29 01:13:49,690 - __main__ - DEBUG - Game 1, Step 151: Player 3 chose action 0
2025-04-29 01:13:50,282 - __main__ - DEBUG - Game 1, Step 152: Player 0 chose action 69
2025-04-29 01:13:50,842 - __main__ - DEBUG - Game 1, Step 153: Player 1 chose action 2
2025-04-29 01:13:51,564 - __main__ - DEBUG - Game 1, Step 154: Player 2 chose action 83
2025-04-29 01:13:52,352 - __main__ - DEBUG - Game 1, Step 155: Player 3 chose action 57
2025-04-29 01:13:53,130 - __main__ - DEBUG - Game 1, Step 156: Player 0 chose action 6
2025-04-29 01:13:54,014 - __main__ - DEBUG - Game 1, Step 157: Player 1 chose action 61
2025-04-29 01:13:54,882 - __main__ - DEBUG - Game 1, Step 158: Player 2 chose action 33
2025-04-29 01:13:55,677 - __main__ - DEBUG - Game 1, Step 159: Player 3 chose action 4
2025-04-29 01:13:56,383 - __main__ - DEBUG - Game 1, Step 160: Player 0 chose action 69
2025-04-29 01:13:57,069 - __main__ - DEBUG - Game 1, Step 161: Player 1 chose action 0
2025-04-29 01:13:57,726 - __main__ - DEBUG - Game 1, Step 162: Player 2 chose action 2
2025-04-29 01:13:58,535 - __main__ - DEBUG - Game 1, Step 163: Player 3 chose action 57
2025-04-29 01:13:59,229 - __main__ - DEBUG - Game 1, Step 164: Player 0 chose action 0
2025-04-29 01:14:00,082 - __main__ - DEBUG - Game 1, Step 165: Player 1 chose action 57
2025-04-29 01:14:00,845 - __main__ - DEBUG - Game 1, Step 166: Player 2 chose action 27
2025-04-29 01:14:01,685 - __main__ - DEBUG - Game 1, Step 167: Player 3 chose action 1
2025-04-29 01:14:02,457 - __main__ - DEBUG - Game 1, Step 168: Player 0 chose action 1
2025-04-29 01:14:03,236 - __main__ - DEBUG - Game 1, Step 169: Player 1 chose action 0
2025-04-29 01:14:03,854 - __main__ - DEBUG - Game 1, Step 170: Player 2 chose action 30
2025-04-29 01:14:04,785 - __main__ - DEBUG - Game 1, Step 171: Player 3 chose action 57
2025-04-29 01:14:05,720 - __main__ - DEBUG - Game 1, Step 172: Player 0 chose action 58
2025-04-29 01:14:06,681 - __main__ - DEBUG - Game 1, Step 173: Player 1 chose action 57
2025-04-29 01:14:07,535 - __main__ - DEBUG - Game 1, Step 174: Player 2 chose action 0
2025-04-29 01:14:08,429 - __main__ - DEBUG - Game 1, Step 175: Player 3 chose action 0
2025-04-29 01:14:09,314 - __main__ - DEBUG - Game 1, Step 176: Player 0 chose action 0
2025-04-29 01:14:10,045 - __main__ - DEBUG - Game 1, Step 177: Player 1 chose action 3
2025-04-29 01:14:10,753 - __main__ - DEBUG - Game 1, Step 178: Player 2 chose action 0
2025-04-29 01:14:11,566 - __main__ - DEBUG - Game 1, Step 179: Player 3 chose action 57
2025-04-29 01:14:12,375 - __main__ - DEBUG - Game 1, Step 180: Player 0 chose action 57
2025-04-29 01:14:13,215 - __main__ - DEBUG - Game 1, Step 181: Player 1 chose action 58
2025-04-29 01:14:14,226 - __main__ - DEBUG - Game 1, Step 182: Player 2 chose action 0
2025-04-29 01:14:15,160 - __main__ - DEBUG - Game 1, Step 183: Player 3 chose action 1
2025-04-29 01:14:15,834 - __main__ - DEBUG - Game 1, Step 184: Player 0 chose action 0
2025-04-29 01:14:16,435 - __main__ - DEBUG - Game 1, Step 185: Player 1 chose action 1
2025-04-29 01:14:16,969 - __main__ - DEBUG - Game 1, Step 186: Player 2 chose action 30
2025-04-29 01:14:17,599 - __main__ - DEBUG - Game 1, Step 187: Player 3 chose action 58
2025-04-29 01:14:18,288 - __main__ - DEBUG - Game 1, Step 188: Player 0 chose action 57
2025-04-29 01:14:19,027 - __main__ - DEBUG - Game 1, Step 189: Player 1 chose action 69
2025-04-29 01:14:19,795 - __main__ - DEBUG - Game 1, Step 190: Player 2 chose action 3
2025-04-29 01:14:20,712 - __main__ - DEBUG - Game 1, Step 191: Player 3 chose action 1
2025-04-29 01:14:21,586 - __main__ - DEBUG - Game 1, Step 192: Player 0 chose action 2
2025-04-29 01:14:22,335 - __main__ - DEBUG - Game 1, Step 193: Player 1 chose action 0
2025-04-29 01:14:23,012 - __main__ - DEBUG - Game 1, Step 194: Player 2 chose action 28
2025-04-29 01:14:23,646 - __main__ - DEBUG - Game 1, Step 195: Player 3 chose action 61
2025-04-29 01:14:24,607 - __main__ - DEBUG - Game 1, Step 196: Player 0 chose action 57
2025-04-29 01:14:25,641 - __main__ - DEBUG - Game 1, Step 197: Player 1 chose action 8
2025-04-29 01:14:26,596 - __main__ - DEBUG - Game 1, Step 198: Player 2 chose action 57
2025-04-29 01:14:27,661 - __main__ - DEBUG - Game 1, Step 199: Player 2 chose action 57
2025-04-29 01:14:28,733 - __main__ - DEBUG - Game 1, Step 200: Player 3 chose action 30
2025-04-29 01:14:29,606 - __main__ - DEBUG - Game 1, Step 201: Player 0 chose action 0
2025-04-29 01:14:30,488 - __main__ - DEBUG - Game 1, Step 202: Player 1 chose action 69
2025-04-29 01:14:31,321 - __main__ - DEBUG - Game 1, Step 203: Player 2 chose action 0
2025-04-29 01:14:32,219 - __main__ - DEBUG - Game 1, Step 204: Player 3 chose action 1
2025-04-29 01:14:32,988 - __main__ - DEBUG - Game 1, Step 205: Player 0 chose action 57
2025-04-29 01:14:33,781 - __main__ - DEBUG - Game 1, Step 206: Player 1 chose action 0
2025-04-29 01:14:34,571 - __main__ - DEBUG - Game 1, Step 207: Player 2 chose action 69
2025-04-29 01:14:35,393 - __main__ - DEBUG - Game 1, Step 208: Player 3 chose action 1
2025-04-29 01:14:36,341 - __main__ - DEBUG - Game 1, Step 209: Player 0 chose action 1
2025-04-29 01:14:37,241 - __main__ - DEBUG - Game 1, Step 210: Player 1 chose action 61
2025-04-29 01:14:38,138 - __main__ - DEBUG - Game 1, Step 211: Player 2 chose action 4
2025-04-29 01:14:39,126 - __main__ - DEBUG - Game 1, Step 212: Player 3 chose action 2
2025-04-29 01:14:40,114 - __main__ - DEBUG - Game 1, Step 213: Player 0 chose action 58
2025-04-29 01:14:40,995 - __main__ - DEBUG - Game 1, Step 214: Player 1 chose action 2
2025-04-29 01:14:41,977 - __main__ - DEBUG - Game 1, Step 215: Player 2 chose action 30
2025-04-29 01:14:42,913 - __main__ - DEBUG - Game 1, Step 216: Player 3 chose action 1
2025-04-29 01:14:43,795 - __main__ - DEBUG - Game 1, Step 217: Player 0 chose action 2
2025-04-29 01:14:44,709 - __main__ - DEBUG - Game 1, Step 218: Player 1 chose action 57
2025-04-29 01:14:45,555 - __main__ - DEBUG - Game 1, Step 219: Player 2 chose action 0
2025-04-29 01:14:46,463 - __main__ - DEBUG - Game 1, Step 220: Player 3 chose action 61
2025-04-29 01:14:47,513 - __main__ - DEBUG - Game 1, Step 221: Player 0 chose action 57
2025-04-29 01:14:48,510 - __main__ - DEBUG - Game 1, Step 222: Player 1 chose action 4
2025-04-29 01:14:49,482 - __main__ - DEBUG - Game 1, Step 223: Player 2 chose action 0
2025-04-29 01:14:50,495 - __main__ - DEBUG - Game 1, Step 224: Player 3 chose action 2
2025-04-29 01:14:51,378 - __main__ - DEBUG - Game 1, Step 225: Player 0 chose action 3
2025-04-29 01:14:52,334 - __main__ - DEBUG - Game 1, Step 226: Player 1 chose action 57
2025-04-29 01:14:53,128 - __main__ - DEBUG - Game 1, Step 227: Player 2 chose action 0
2025-04-29 01:14:53,991 - __main__ - DEBUG - Game 1, Step 228: Player 3 chose action 61
2025-04-29 01:14:54,868 - __main__ - DEBUG - Game 1, Step 229: Player 0 chose action 76
2025-04-29 01:14:55,726 - __main__ - DEBUG - Game 1, Step 230: Player 1 chose action 4
2025-04-29 01:14:56,497 - __main__ - DEBUG - Game 1, Step 231: Player 2 chose action 57
2025-04-29 01:14:57,446 - __main__ - DEBUG - Game 1, Step 232: Player 3 chose action 4
2025-04-29 01:14:58,344 - __main__ - DEBUG - Game 1, Step 233: Player 0 chose action 2
2025-04-29 01:14:59,321 - __main__ - DEBUG - Game 1, Step 234: Player 1 chose action 57
2025-04-29 01:15:00,351 - __main__ - DEBUG - Game 1, Step 235: Player 2 chose action 3
2025-04-29 01:15:01,187 - __main__ - DEBUG - Game 1, Step 236: Player 3 chose action 61
2025-04-29 01:15:01,894 - __main__ - DEBUG - Game 1, Step 237: Player 0 chose action 4
2025-04-29 01:15:02,741 - __main__ - DEBUG - Game 1, Step 238: Player 1 chose action 0
2025-04-29 01:15:03,610 - __main__ - DEBUG - Game 1, Step 239: Player 2 chose action 69
2025-04-29 01:15:04,643 - __main__ - DEBUG - Game 1, Step 240: Player 3 chose action 0
2025-04-29 01:15:05,459 - __main__ - DEBUG - Game 1, Step 241: Player 0 chose action 2
2025-04-29 01:15:06,286 - __main__ - DEBUG - Game 1, Step 242: Player 1 chose action 57
