2025-04-22 00:36:19,545 - AlphaZero-Training - INFO - Game 192: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:21,403 - AlphaZero-Training - INFO - Game 194: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:23,805 - AlphaZero-Training - INFO - Game 196: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:25,828 - AlphaZero-Training - INFO - Game 198: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:25,829 - AlphaZero-Training - INFO - Training losses - Total: 0.0000, Policy: 0.0000, Value: 0.0000
2025-04-22 00:36:25,830 - AlphaZero-Training - INFO - Iteration 1 completed in 186.27 seconds
2025-04-22 00:36:25,830 - AlphaZero-Training - INFO - Starting iteration 2/1000
2025-04-22 00:36:27,633 - AlphaZero-Training - INFO - Game 100: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:29,511 - AlphaZero-Training - INFO - Game 102: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:31,137 - AlphaZero-Training - INFO - Game 104: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:33,016 - AlphaZero-Training - INFO - Game 106: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:35,003 - AlphaZero-Training - INFO - Game 108: 1 steps, reward: -0.4, actions: 1
