2025-04-15 21:08:33,158 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:08:34,689 - INFO - Player 3, Action 25, Total tokens 12, Next player 3
2025-04-15 21:08:34,692 - INFO - Player 0, Action 54, Total tokens 8, Next player 0
2025-04-15 21:08:34,694 - INFO - Player 1, Action 14, Total tokens 5, Next player 1
2025-04-15 21:08:34,696 - INFO - Player 2, Action 72, Total tokens 8, Next player 2
2025-04-15 21:08:34,697 - INFO - Player 3, Action 62, Total tokens 10, Next player 3
2025-04-15 21:08:34,700 - INFO - Player 0, Action 25, Total tokens 10, Next player 0
2025-04-15 21:08:34,703 - INFO - Player 1, Action 8, Total tokens 7, Next player 1
2025-04-15 21:08:34,704 - INFO - Player 2, Action 12, Total tokens 10, Next player 2
2025-04-15 21:08:34,707 - INFO - Player 3, Action 23, Total tokens 13, Next player 3
2025-04-15 21:08:34,710 - INFO - Player 0, Action 29, Total tokens 12, Next player 0
2025-04-15 21:08:34,713 - INFO - Player 1, Action 55, Total tokens 6, Next player 1
2025-04-15 21:08:34,715 - INFO - Player 2, Action 32, Total tokens 8, Next player 2
2025-04-15 21:08:34,717 - INFO - Player 3, Action 78, Total tokens 10, Next player 3
2025-04-15 21:08:34,719 - INFO - Player 0, Action 66, Total tokens 10, Next player 0
2025-04-15 21:08:34,722 - INFO - Player 1, Action 48, Total tokens 7, Next player 1
2025-04-15 21:08:34,726 - INFO - Player 2, Action 32, Total tokens 4, Next player 2
2025-04-15 21:08:34,730 - INFO - Player 3, Action 31, Total tokens 7, Next player 3
2025-04-15 21:08:34,733 - INFO - Player 0, Action 51, Total tokens 11, Next player 0
2025-04-15 21:08:34,736 - INFO - Player 1, Action 13, Total tokens 9, Next player 1
2025-04-15 21:08:34,739 - INFO - Player 2, Action 24, Total tokens 7, Next player 2
2025-04-15 21:08:34,741 - INFO - Player 3, Action 16, Total tokens 10, Next player 3
2025-04-15 21:08:34,743 - INFO - Player 0, Action 76, Total tokens 8, Next player 0
2025-04-15 21:08:34,746 - INFO - Player 1, Action 37, Total tokens 4, Next player 1
2025-04-15 21:08:34,750 - INFO - Player 2, Action 29, Total tokens 9, Next player 2
2025-04-15 21:08:34,753 - INFO - Player 3, Action 4, Total tokens 11, Next player 3
2025-04-15 21:08:34,755 - INFO - Player 0, Action 14, Total tokens 10, Next player 0
2025-04-15 21:08:34,758 - INFO - Player 1, Action 2, Total tokens 5, Next player 1
2025-04-15 21:08:34,760 - INFO - Player 2, Action 2, Total tokens 10, Next player 2
2025-04-15 21:08:34,762 - INFO - Player 3, Action 67, Total tokens 9, Next player 3
2025-04-15 21:08:34,765 - INFO - Player 0, Action 31, Total tokens 9, Next player 0
2025-04-15 21:08:34,768 - INFO - Player 1, Action 30, Total tokens 4, Next player 1
2025-04-15 21:08:34,770 - INFO - Player 2, Action 10, Total tokens 12, Next player 2
2025-04-15 21:08:34,773 - INFO - Player 3, Action 30, Total tokens 6, Next player 3
2025-04-15 21:08:34,775 - INFO - Player 0, Action 28, Total tokens 11, Next player 0
2025-04-15 21:08:34,777 - INFO - Player 1, Action 26, Total tokens 6, Next player 1
2025-04-15 21:08:34,779 - INFO - Player 1, Action 59, Total tokens 11, Next player 1
2025-04-15 21:08:34,781 - INFO - Player 2, Action 68, Total tokens 9, Next player 2
2025-04-15 21:08:34,783 - INFO - Player 3, Action 1, Total tokens 7, Next player 3
2025-04-15 21:08:34,784 - INFO - Player 0, Action 76, Total tokens 8, Next player 0
2025-04-15 21:08:34,786 - INFO - Player 1, Action 5, Total tokens 8, Next player 1
2025-04-15 21:08:34,788 - INFO - Player 2, Action 1, Total tokens 10, Next player 2
2025-04-15 21:08:34,791 - INFO - Player 3, Action 11, Total tokens 9, Next player 3
2025-04-15 21:08:34,794 - INFO - Player 0, Action 54, Total tokens 7, Next player 0
2025-04-15 21:08:34,796 - INFO - Player 1, Action 0, Total tokens 9, Next player 1
2025-04-15 21:08:34,798 - INFO - Player 2, Action 29, Total tokens 12, Next player 2
2025-04-15 21:08:34,801 - INFO - Player 3, Action 2, Total tokens 10, Next player 3
2025-04-15 21:08:34,803 - INFO - Player 0, Action 51, Total tokens 8, Next player 0
